uf,ibge,municipio,parametro,valor,ano_quadrimestre,ano,quadrimestre
ES,320120.0,CACHOEIRO DE ITAPEMIRIM,210569.0,130253.0,2018 Q1,2018,Q1
ES,320501.0,SOORETAMA,13750.0,14226.0,2018 Q1,2018,Q1
ES,320506.0,VENDA NOVA DO IMIGRANTE,22000.0,22816.0,2018 Q1,2018,Q1
ES,320280.0,ITAPEMIRIM,27500.0,26584.0,2018 Q1,2018,Q1
ES,320300.0,IÚNA,27500.0,20007.0,2018 Q1,2018,Q1
ES,320360.0,MUCURICI,5496.0,4905.0,2018 Q1,2018,Q1
ES,320390.0,NOVA VENÉCIA,50427.0,39970.0,2018 Q1,2018,Q1
ES,320440.0,RIO NOVO DO SUL,11622.0,8900.0,2018 Q1,2018,Q1
ES,320450.0,SANTA LEOPOLDINA,12195.0,6231.0,2018 Q1,2018,Q1
ES,320455.0,SANTA MARIA DE JETIBÁ,41010.0,24870.0,2018 Q1,2018,Q1
ES,320503.0,VARGEM ALTA,21584.0,11121.0,2018 Q1,2018,Q1
ES,320530.0,VITÓRIA,365814.0,84258.0,2018 Q1,2018,Q1
ES,320240.0,GUARAPARI,76000.0,37022.0,2018 Q1,2018,Q1
ES,320332.0,MARATAÍZES,30250.0,17326.0,2018 Q1,2018,Q1
ES,320400.0,PANCAS,22000.0,19358.0,2018 Q1,2018,Q1
ES,320410.0,PINHEIROS,19250.0,12998.0,2018 Q1,2018,Q1
ES,320460.0,SANTA TERESA,23724.0,17843.0,2018 Q1,2018,Q1
ES,320180.0,DIVINO DE SÃO LOURENÇO,4270.0,382.0,2018 Q1,2018,Q1
ES,320515.0,VILA PAVÃO,5500.0,6399.0,2018 Q1,2018,Q1
ES,320225.0,GOVERNADOR LINDENBERG,12880.0,10824.0,2018 Q1,2018,Q1
ES,320230.0,GUAÇUÍ,27500.0,14656.0,2018 Q1,2018,Q1
ES,320310.0,JERÔNIMO MONTEIRO,11000.0,7770.0,2018 Q1,2018,Q1
ES,320313.0,JOÃO NEIVA,16500.0,11653.0,2018 Q1,2018,Q1
ES,320016.0,ÁGUA DOCE DO NORTE,10908.0,9951.0,2018 Q1,2018,Q1
ES,320070.0,ATILIO VIVACQUA,12102.0,8363.0,2018 Q1,2018,Q1
ES,320080.0,BAIXO GUANDU,30250.0,20515.0,2018 Q1,2018,Q1
ES,320110.0,BOM JESUS DO NORTE,9960.0,5749.0,2018 Q1,2018,Q1
ES,320405.0,PEDRO CANÁRIO,16500.0,10790.0,2018 Q1,2018,Q1
ES,320425.0,PONTO BELO,7938.0,6139.0,2018 Q1,2018,Q1
ES,320435.0,RIO BANANAL,19250.0,18179.0,2018 Q1,2018,Q1
ES,320465.0,SÃO DOMINGOS DO NORTE,8250.0,7302.0,2018 Q1,2018,Q1
ES,320150.0,COLATINA,123372.0,36010.0,2018 Q1,2018,Q1
ES,320510.0,VIANA,79500.0,19575.0,2018 Q1,2018,Q1
ES,320520.0,VILA VELHA,250000.0,3595.0,2018 Q1,2018,Q1
ES,320255.0,IBITIRAMA,8856.0,4593.0,2018 Q1,2018,Q1
ES,320290.0,ITARANA,10492.0,10746.0,2018 Q1,2018,Q1
ES,320013.0,ÁGUIA BRANCA,9628.0,7705.0,2018 Q1,2018,Q1
ES,320340.0,MIMOSO DO SUL,26112.0,20173.0,2018 Q1,2018,Q1
ES,320430.0,PRESIDENTE KENNEDY,11658.0,10242.0,2018 Q1,2018,Q1
ES,320490.0,SÃO MATEUS,120000.0,52604.0,2018 Q1,2018,Q1
ES,320500.0,SERRA,404000.0,14676.0,2018 Q1,2018,Q1
ES,320160.0,CONCEIÇÃO DA BARRA,24750.0,23842.0,2018 Q1,2018,Q1
ES,320250.0,IBIRAÇU,11000.0,8690.0,2018 Q1,2018,Q1
ES,320260.0,ICONHA,13750.0,8905.0,2018 Q1,2018,Q1
ES,320316.0,LARANJA DA TERRA,10932.0,5657.0,2018 Q1,2018,Q1
ES,320040.0,ANCHIETA,29772.0,12224.0,2018 Q1,2018,Q1
ES,320060.0,ARACRUZ,96000.0,40722.0,2018 Q1,2018,Q1
ES,320330.0,MANTENÓPOLIS,13750.0,13154.0,2018 Q1,2018,Q1
ES,320335.0,MARILÂNDIA,12960.0,12223.0,2018 Q1,2018,Q1
ES,320100.0,BOA ESPERANÇA,15090.0,13000.0,2018 Q1,2018,Q1
ES,320380.0,MUQUI,13750.0,9589.0,2018 Q1,2018,Q1
ES,320420.0,PIÚMA,22050.0,3722.0,2018 Q1,2018,Q1
ES,320470.0,SÃO GABRIEL DA PALHA,27500.0,24562.0,2018 Q1,2018,Q1
ES,320495.0,SÃO ROQUE DO CANAÃ,11000.0,8822.0,2018 Q1,2018,Q1
ES,320140.0,CASTELO,35750.0,22811.0,2018 Q1,2018,Q1
ES,320220.0,FUNDÃO,16000.0,220.0,2018 Q1,2018,Q1
ES,320245.0,IBATIBA,16500.0,9118.0,2018 Q1,2018,Q1
ES,320320.0,LINHARES,156000.0,48409.0,2018 Q1,2018,Q1
ES,320030.0,ALFREDO CHAVES,11000.0,9400.0,2018 Q1,2018,Q1
ES,320035.0,ALTO RIO NOVO,7872.0,1446.0,2018 Q1,2018,Q1
ES,320350.0,MONTANHA,18888.0,12380.0,2018 Q1,2018,Q1
ES,320370.0,MUNIZ FREIRE,17312.0,12709.0,2018 Q1,2018,Q1
ES,320115.0,BREJETUBA,12425.0,4962.0,2018 Q1,2018,Q1
ES,320190.0,DOMINGOS MARTINS,24750.0,21917.0,2018 Q1,2018,Q1
ES,320200.0,DORES DO RIO PRETO,6771.0,4572.0,2018 Q1,2018,Q1
ES,320210.0,ECOPORANGA,22000.0,12486.0,2018 Q1,2018,Q1
ES,320517.0,VILA VALÉRIO,14070.0,13006.0,2018 Q1,2018,Q1
ES,320265.0,IRUPI,11000.0,3573.0,2018 Q1,2018,Q1
ES,320270.0,ITAGUAÇU,13750.0,5470.0,2018 Q1,2018,Q1
ES,320334.0,MARECHAL FLORIANO,16919.0,13096.0,2018 Q1,2018,Q1
ES,320090.0,BARRA DE SÃO FRANCISCO,33000.0,29853.0,2018 Q1,2018,Q1
ES,320480.0,SÃO JOSÉ DO CALÇADO,10544.0,8685.0,2018 Q1,2018,Q1
ES,320130.0,CARIACICA,224000.0,7560.0,2018 Q1,2018,Q1
ES,320170.0,CONCEIÇÃO DO CASTELO,11000.0,7679.0,2018 Q1,2018,Q1
ES,320305.0,JAGUARÉ,24062.0,5306.0,2018 Q1,2018,Q1
ES,320010.0,AFONSO CLÁUDIO,27500.0,29198.0,2018 Q1,2018,Q1
